game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,reward_wpa
20250518SKHH02025,1,0,0,1,1,2,0,0,0,76715,67893,L,0.0,0.208,112.0,커브,1,135.6,19,F,2.2
20250518SKHH02025,1,0,0,1,2,2,0,0,0,76715,67893,L,0.0,0.208,145.0,직구,1,135.4,20,B,2.2
20250518SKHH02025,1,0,0,1,3,2,0,0,0,76715,67893,L,0.0,0.208,128.0,커터,1,133.4,21,B,2.2
20250518SKHH02025,1,0,0,1,3,2,0,0,0,76715,67893,L,0.0,0.208,128.0,커터,1,131.0,22,F,2.2
20250518SKHH02025,1,0,0,1,3,2,0,0,0,76715,67893,L,0.0,0.208,143.0,직구,1,131.2,23,F,2.2
20250518SKHH02025,1,0,0,1,4,2,0,0,0,76715,67893,L,0.0,0.208,146.0,직구,1,138.0,24,B,2.2
20250518SKHH02025,1,0,0,0,0,1,0,0,0,76715,54812,L,0.0,0.187,137.0,직구,1,136.4,25,T,-2.3
20250518SKHH02025,1,0,0,0,0,2,0,0,0,76715,54812,L,0.0,0.187,124.0,커터,1,135.6,26,F,-2.3
20250518SKHH02025,1,0,0,0,1,2,0,0,0,76715,54812,L,0.0,0.187,121.0,커터,1,134.2,27,B,-2.3
20250518SKHH02025,1,0,0,0,2,2,0,0,0,76715,54812,L,0.0,0.187,142.0,직구,1,134.0,28,B,-2.3
20250518SKHH02025,1,0,0,0,2,3,0,0,0,76715,54812,L,0.0,0.187,110.0,커브,1,126.8,29,T,-2.3
20250518SKHH02025,2,1,-3,2,1,0,1,1,0,62869,54795,L,0.063,0.246,111.0,커브,2,130.4,1,B,-4.0
20250518SKHH02025,2,1,-3,2,1,1,1,1,0,62869,54795,L,0.063,0.246,125.0,체인지업,2,128.2,2,F,-4.0
20250518SKHH02025,2,1,-3,2,2,1,1,1,0,62869,54795,L,0.063,0.246,143.0,직구,2,129.4,3,B,-4.0
20250518SKHH02025,2,1,-3,2,3,1,1,1,0,62869,54795,L,0.063,0.246,120.0,체인지업,2,124.6,4,B,-4.0
20250518SKHH02025,2,1,-3,2,3,1,1,1,0,62869,54795,L,0.063,0.246,144.0,직구,2,128.6,5,H,-4.0
20250518SKHH02025,2,1,-3,2,0,1,1,0,0,62869,78288,R,0.4,1.0,143.0,직구,2,135.0,6,T,1.8
20250518SKHH02025,2,1,-3,2,0,2,1,0,0,62869,78288,R,0.4,1.0,144.0,직구,2,138.8,7,F,1.8
20250518SKHH02025,2,1,-3,2,0,2,1,0,0,62869,78288,R,0.4,1.0,121.0,슬라이더,2,134.4,8,H,1.8
20250518SKHH02025,2,1,-3,2,0,0,0,0,0,62869,62700,L,0.333,1.0,108.0,커브,2,132.0,9,H,1.2
20250518SKHH02025,2,1,-3,0,1,0,1,0,0,62869,52769,L,1.0,0.25,142.0,직구,2,131.6,10,B,-7.1
20250518SKHH02025,2,1,-3,0,2,0,1,0,0,62869,52769,L,1.0,0.25,120.0,체인지업,2,127.0,11,B,-7.1
20250518SKHH02025,2,1,-3,0,2,1,1,0,0,62869,52769,L,1.0,0.25,124.0,체인지업,2,123.0,12,T,-7.1
20250518SKHH02025,2,1,-3,0,2,2,1,0,0,62869,52769,L,1.0,0.25,143.0,직구,2,127.4,13,F,-7.1
20250518SKHH02025,2,1,-3,0,2,2,1,0,0,62869,52769,L,1.0,0.25,145.0,직구,2,134.8,14,H,-7.1
20250518SKHH02025,2,1,-3,0,0,1,0,0,0,62869,66657,R,0.188,1.0,116.0,슬라이더,2,129.6,15,T,2.9
20250518SKHH02025,2,1,-3,0,1,1,0,0,0,62869,66657,R,0.188,1.0,139.0,직구,2,133.4,16,B,2.9
20250518SKHH02025,2,1,-3,0,2,1,0,0,0,62869,66657,R,0.188,1.0,133.0,슬라이더,2,135.2,17,B,2.9
20250518SKHH02025,2,1,-3,0,2,2,0,0,0,62869,66657,R,0.188,1.0,142.0,직구,2,135.0,18,F,2.9
20250518SKHH02025,2,1,-3,0,2,2,0,0,0,62869,66657,R,0.188,1.0,143.0,직구,2,134.6,19,H,2.9
