game_id,inning,home_or_away,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,score_diff,out_count,is_base1,is_base2,is_base3,total_pitch_count,inning_pitch_count,pa_result,reward_wpa,pitches_per_pa,pa_avg_pitch_speed,_orig_idx,base_state,half,score_diff_attacker,we_before,runs_scored,inning_ended,we_after,data_quality_flag,reward_wpa_computed
20160317SKHH02016,5,0,74731,62893,L,0.0,0.25,1,2,0,1,0,49,12,1B,,4,135.5,30,2,top,-1,0.33599999999999997,1,False,0.513,,0.17700000000000005
20160317SKHH02016,5,0,74731,64802,L,0.0,0.0,0,2,0,1,0,53,16,OUT,,1,121.0,31,2,top,0,0.513,0,True,0.485,,-0.028000000000000025
20160317SKHH02016,5,1,72523,71347,L,0.0,0.25,0,0,0,0,0,1,1,SO,,6,139.66666666666666,32,0,bot,0,0.515,0,False,0.515,,0.0
20160317SKHH02016,5,1,72523,64086,R,0.0,0.0,0,1,0,0,0,7,7,OUT,,3,131.66666666666666,33,0,bot,0,0.515,0,False,0.515,,0.0
20160317SKHH02016,5,1,72523,73602,R,0.0,0.5,0,2,0,0,0,10,10,2B,,2,144.0,34,0,bot,0,0.515,0,False,0.589,,0.07399999999999995
20160317SKHH02016,5,1,72523,61700,L,0.0,0.0,0,2,0,1,0,12,12,OUT,,4,131.25,35,2,bot,0,0.589,0,True,0.5682499999999999,,-0.020750000000000046
20160317SKHH02016,6,0,79764,76849,L,0.0,0.333,0,0,0,0,0,1,1,SO,,4,126.25,36,0,top,0,0.43175,0,False,0.43175,,0.0
20160317SKHH02016,6,0,79764,71837,R,0.0,0.0,0,1,0,0,0,5,5,BB,,6,126.33333333333333,37,0,top,0,0.43175,0,False,0.4815,,0.04974999999999996
20160317SKHH02016,6,0,79764,75847,R,0.0,0.0,0,1,1,0,0,11,11,SO,,5,130.6,38,1,top,0,0.4815,0,False,0.4815,,0.0
20160317SKHH02016,6,0,79764,76812,R,0.0,0.25,0,2,1,0,0,16,16,OUT,,4,132.25,39,1,top,0,0.4815,0,True,0.48649999999999993,,0.004999999999999949
20160317SKHH02016,6,1,73248,75808,R,0.0,0.0,0,0,0,0,0,1,1,OUT,,2,134.5,40,0,bot,0,0.5135000000000001,0,False,0.5135000000000001,,0.0
20160317SKHH02016,6,1,73248,74163,L,0.0,0.0,0,1,0,0,0,3,3,OUT,,6,139.66666666666666,41,0,bot,0,0.5135000000000001,0,False,0.5135000000000001,,0.0
20160317SKHH02016,6,1,73248,74729,R,0.0,0.5,0,2,0,0,0,9,9,HR,,1,148.0,42,0,bot,0,0.5135000000000001,1,False,0.76375,,0.25025
20160317SKHH02016,6,1,73248,66740,R,0.0,0.0,1,2,0,0,0,10,10,OUT,,2,148.0,43,0,bot,1,0.76375,0,True,0.793,,0.029249999999999998
20160317SKHH02016,7,0,66748,75151,R,0.0,0.75,1,0,0,0,0,1,1,1B,,4,146.0,44,0,top,-1,0.207,0,False,0.269,,0.06200000000000003
20160317SKHH02016,7,0,66748,74846,L,0.0,0.5,1,0,1,0,0,5,5,SO,,5,138.8,45,1,top,-1,0.269,0,False,0.269,,0.0
20160317SKHH02016,7,0,66748,71848,L,0.0,0.0,1,1,1,0,0,10,10,SO,,3,139.66666666666666,46,1,top,-1,0.269,0,False,0.269,,0.0
20160317SKHH02016,7,0,66748,62893,L,0.0,0.25,1,2,1,0,0,13,13,SO,,3,146.66666666666666,47,1,top,-1,0.269,0,True,0.20499999999999996,,-0.06400000000000006
20160317SKHH02016,7,1,75138,73136,L,0.0,0.5,1,0,0,0,0,1,1,OUT,,6,129.66666666666666,48,0,bot,1,0.795,0,False,0.795,,0.0
20160317SKHH02016,7,1,75138,71347,L,0.0,0.25,1,1,0,0,0,7,7,SO,,6,132.83333333333334,49,0,bot,1,0.795,0,False,0.795,,0.0
20160317SKHH02016,7,1,75138,64086,R,0.0,0.0,1,2,0,0,0,13,13,OUT,,1,132.0,50,0,bot,1,0.795,0,True,0.793,,-0.0020000000000000018
20160317SKHH02016,8,0,66748,72860,R,0.0,0.5,1,0,0,0,0,16,1,1B,,2,134.0,51,0,top,-1,0.207,0,False,0.269,,0.06200000000000003
20160317SKHH02016,8,0,66748,76849,L,0.0,0.333,1,0,1,0,0,18,3,2B,,2,145.0,52,1,top,-1,0.269,0,False,0.465,,0.196
20160317SKHH02016,8,0,66748,71837,R,0.0,0.0,1,0,0,1,1,20,5,SO,,3,140.66666666666666,53,23,top,-1,0.465,0,False,0.465,,0.0
20160317SKHH02016,8,0,66748,75847,R,0.0,0.0,1,1,0,1,1,23,8,BB,,4,131.5,54,23,top,-1,0.465,0,False,0.471,,0.00599999999999995
20160317SKHH02016,8,0,66748,76812,R,0.0,0.25,1,1,1,1,1,27,12,1B,,2,147.5,55,123,top,-1,0.471,2,False,0.753,,0.28200000000000003
